x,alpha_max_M_2.6Msun_delta_0.001,alpha_max_M_2.6Msun_delta_0.01,alpha_max_M_3.0Msun_delta_0.001,alpha_max_M_3.0Msun_delta_0.01
7.998527336796707e-06,7.37714519858332e+38,7.377145198583323e+39,9.821643015865367e+38,9.821643015865368e+39
8.312514989890631e-06,5.6341865293994125e+38,5.634186529399412e+39,7.501135911922293e+38,7.501135911922293e+39
8.638828442740453e-06,4.303027290902492e+38,4.303027290902491e+39,5.72888248788793e+38,5.728882487887931e+39
8.977951553033312e-06,3.2863738762201847e+38,3.286373876220185e+39,4.3753498352043865e+38,4.3753498352043876e+39
9.33038717262036e-06,2.5099197044439178e+38,2.509919704443918e+39,3.3416090739637957e+38,3.341609073963795e+39
9.69665789314552e-06,1.9169142031638165e+38,1.9169142031638166e+39,2.5521047083541927e+38,2.5521047083541925e+39
1.0077306820944618e-05,1.4640149472773018e+38,1.464014947277302e+39,1.949132326256763e+38,1.9491323262567627e+39
1.0472898382363572e-05,1.1181197899168089e+38,1.118119789916809e+39,1.4886210220785917e+38,1.488621022078591e+39
1.0884019160690056e-05,8.539474482321875e+37,8.539474482321877e+38,1.136912283149362e+38,1.136912283149362e+39
1.1311278765939212e-05,6.521897107742709e+37,6.5218971077427085e+38,8.682999107941475e+37,8.682999107941474e+38
1.17553107387837e-05,4.981002126270367e+37,4.9810021262703664e+38,6.631511706572973e+37,6.631511706572971e+38
1.221677348996793e-05,3.804166328542674e+37,3.804166328542674e+38,5.064718484746162e+37,5.064718484746163e+38
1.2696351276599727e-05,2.905375384213077e+37,2.9053753842130767e+38,3.868103322177173e+37,3.8681033221771726e+38
1.319475521676706e-05,2.21893710680537e+37,2.21893710680537e+38,2.9542062072852554e+37,2.9542062072852552e+38
1.3712724343984007e-05,1.6946800510120057e+37,1.694680051012006e+38,2.256230837146161e+37,2.256230837146161e+38
1.4251026703029964e-05,1.294286511140943e+37,1.2942865111409431e+38,1.7231625148326163e+37,1.7231625148326158e+38
1.481046048880674e-05,9.884919020043808e+36,9.884919020043808e+37,1.3160395145028736e+37,1.3160395145028736e+38
1.5391855229902053e-05,7.549458268354329e+36,7.54945826835433e+37,1.005105390757233e+37,1.0051053907572329e+38
1.5996073018614878e-05,5.765784990703372e+36,5.765784990703374e+37,7.676340963954193e+36,7.676340963954193e+37
1.6624009789266134e-05,4.403531208066125e+36,4.403531208066125e+37,5.862689478194543e+36,5.862689478194543e+37
1.7276596646690345e-05,3.3631303006240805e+36,3.3631303006240805e+37,4.477540341067562e+36,4.477540341067562e+37
1.7954801246878302e-05,2.5685397341947736e+36,2.5685397341947737e+37,3.419653492271148e+36,3.4196534922711475e+37
1.865962923181746e-05,1.961683148998345e+36,1.9616831489983453e+37,2.6117083344652524e+36,2.6117083344652525e+37
1.939212572065831e-05,1.498205586347994e+36,1.498205586347994e+37,1.994652407859755e+36,1.9946524078597547e+37
2.0153376859417352e-05,1.1442316052723378e+36,1.144231605272338e+37,1.5233852732915738e+36,1.523385273291574e+37
2.0944511431514686e-05,8.738893416763178e+35,8.738893416763179e+36,1.1634621412850384e+36,1.1634621412850383e+37
2.1766702531534592e-05,6.674195449177017e+35,6.674195449177016e+36,8.885763171981234e+35,8.885763171981233e+36
2.2621169304690265e-05,5.097313823230949e+35,5.097313823230949e+36,6.786364557555996e+35,6.786364557555996e+36
2.3509178754572845e-05,3.892994561709786e+35,3.892994561709786e+36,5.182980925353265e+35,5.1829809253532646e+36
2.4432047621864865e-05,2.9732141669085165e+35,2.9732141669085165e+36,3.95842122813264e+35,3.95842122813264e+36
2.539114433680347e-05,2.270746014418718e+35,2.2707460144187184e+36,3.023182563575216e+35,3.023182563575216e+36
2.6387891048289346e-05,1.7342467816156807e+35,1.7342467816156807e+36,2.3089084370622965e+35,2.308908437062296e+36
2.7423765732649524e-05,1.3245037802632874e+35,1.3245037802632874e+36,1.7633926068594058e+35,1.7633926068594058e+36
2.8500304385181053e-05,1.0115689125182064e+35,1.0115689125182064e+36,1.3467633450686175e+35,1.3467633450686176e+36
2.9619103297725536e-05,7.725697724610418e+34,7.725697724610419e+35,1.028569223690736e+35,1.028569223690736e+36
3.07818214256508e-05,5.900379075085497e+34,5.900379075085497e+35,7.85553427156353e+34,7.85553427156353e+35
3.19901828477506e-05,4.506320530237928e+34,4.506320530237929e+35,5.999539167476531e+34,5.999539167476531e+35
3.324597932270938e-05,3.441630218461141e+34,3.441630218461141e+35,4.58205206599856e+34,4.58205206599856e+35
3.4551072945922186e-05,2.62848978282958e+34,2.62848978282958e+35,3.499468645779026e+34,3.4994686457790255e+35
3.5907398910610545e-05,2.0074666480445972e+34,2.007466648044597e+35,2.672662697100795e+34,2.672662697100795e+35
3.731696837732755e-05,1.5331700999066612e+34,1.5331700999066614e+35,2.0412027957337204e+34,2.04120279573372e+35
3.87818714561072e-05,1.170933681525168e+34,1.170933681525168e+35,1.558935374811614e+34,1.558935374811614e+35
4.03042803056805e-05,8.942814235717317e+33,8.942814235717318e+34,1.1906113627434295e+34,1.1906113627434296e+35
4.188645235435271e-05,6.829927160264949e+33,6.82992716026495e+34,9.09309829029357e+33,9.09309829029357e+34
4.3530733647318926e-05,5.216243833657584e+33,5.216243833657584e+34,6.94470332883406e+33,6.94470332883406e+34
4.523956232538058e-05,3.983819419908242e+33,3.9838194199082425e+34,5.303901594552392e+33,5.303901594552392e+34
4.7015472240221296e-05,3.042575403216307e+33,3.0425754032163078e+34,4.0507660693708223e+33,4.050766069370822e+34
4.8861096711603256e-05,2.323715737400403e+33,2.323715737400403e+34,3.093704384112962e+33,3.093704384112962e+34
5.077917243205403e-05,1.774698531100845e+33,1.7746985311008453e+34,2.362764316554379e+33,2.362764316554379e+34
5.277254352483532e-05,1.3553957497710307e+33,1.3553957497710308e+34,1.80452096863007e+33,1.80452096863007e+34
5.484416576121015e-05,1.0351602473796928e+33,1.0351602473796928e+34,1.378171926984798e+33,1.378171926984798e+34
5.699711094326075e-05,7.905857573100227e+32,7.905857573100228e+33,1.052555002335829e+33,1.052555002335829e+34
5.923457145875806e-05,6.037961202228492e+32,6.037961202228493e+33,8.038705742611897e+32,8.038705742611897e+33
6.155986501483514e-05,4.61138708515567e+32,4.61138708515567e+33,6.1394206755031096e+32,6.139420675503109e+33
6.397643955748423e-05,3.5218654969887084e+32,3.5218654969887087e+33,4.688874182381416e+32,4.688874182381416e+33
6.648787838417262e-05,2.689762137976396e+32,2.689762137976396e+33,3.581044266536621e+32,3.5810442665366205e+33
6.909790545715646e-05,2.0542576186736944e+32,2.0542576186736944e+33,2.734958368056693e+32,2.7349583680566935e+33
7.181039092537342e-05,1.5689021338457403e+32,1.5689021338457403e+33,2.088775030267997e+32,2.088775030267997e+33
7.462935686310129e-05,1.1982204152919632e+32,1.1982204152919632e+33,1.5952638665129686e+32,1.5952638665129686e+33
7.755898323389001e-05,9.151188187320265e+31,9.151188187320264e+32,1.218353456891751e+32,1.2183534568917508e+33
8.060361408861344e-05,6.98905027961111e+31,6.989050279611111e+32,9.304948597115383e+31,9.304948597115382e+32
8.376776400682924e-05,5.337756357700836e+31,5.337756357700837e+32,7.106480357885727e+31,7.106480357885727e+32
8.705612479099857e-05,4.076610583265276e+31,4.076610583265276e+32,5.427440125649036e+31,5.427440125649035e+32
9.047357242349294e-05,3.113433572978891e+31,3.1134335729788917e+32,4.145103869350594e+31,4.145103869350594e+32
9.402517429670132e-05,2.377824908998204e+31,2.377824908998204e+32,3.1657432220390283e+31,3.165743222039028e+32
9.77161967269618e-05,1.816017491893739e+31,1.816017491893739e+32,2.417774767314149e+31,2.417774767314149e+32
0.0001015521127634,1.3869476375777675e+31,1.3869476375777674e+32,1.846527919852057e+31,1.846527919852057e+32
0.0001055386103036,1.0592536790078582e+31,1.0592536790078584e+32,1.4102489809276218e+31,1.4102489809276216e+32
0.0001096816005273,8.08983698294348e+30,8.089836982943481e+31,1.0770493024628893e+31,1.0770493024628893e+32
0.0001139872266616,6.178448455492847e+30,6.178448455492847e+31,8.225744985123611e+30,8.22574498512361e+31
0.0001184618730902,4.718662857005664e+30,4.718662857005664e+31,6.282243448676178e+30,6.282243448676178e+31
0.0001231121748203,3.603780468245069e+30,3.603780468245069e+31,4.797932576065919e+30,4.797932576065919e+31
0.0001279450273207,2.752311330100307e+30,2.7523113301003075e+31,3.664319818180882e+30,3.664319818180882e+31
0.0001329675967466,2.1020189897427292e+30,2.102018989742729e+31,2.79854599226103e+30,2.79854599226103e+31
0.0001381873305653,1.6053715149106833e+30,1.6053715149106836e+31,2.1373289399698444e+30,2.1373289399698446e+31
0.0001436119685999,1.2260672854109813e+30,1.226067285410981e+31,1.6323381018785252e+30,1.632338101878525e+31
0.0001492495545051,9.36381627414247e+29,9.363816274142472e+30,1.246661929989382e+30,1.246661929989382e+31
0.0001551084476952,7.151403523633923e+29,7.151403523633924e+30,9.521099365784808e+29,9.521099365784808e+30
0.0001611973357388,5.461720834617088e+29,5.461720834617088e+30,7.271521821235767e+29,7.271521821235766e+30
0.0001675252472408,4.171262478549333e+29,4.171262478549334e+30,5.55345596256568e+29,5.55345596256568e+30
0.0001741015652304,3.185703395876113e+29,3.1857033958761136e+30,4.2413210891841735e+29,4.241321089184173e+30
0.0001809360410738,2.433004706895173e+29,2.433004706895173e+30,3.239207450008366e+29,3.239207450008366e+30
0.000188038808934,1.858148172824624e+29,1.8581481728246243e+30,2.473865910565328e+29,2.473865910565328e+30
0.0001954204007974,1.419114738423084e+29,1.419114738423084e+30,1.889353941687537e+29,1.889353941687537e+30
0.0002030917620904,1.0838132194406287e+29,1.083813219440629e+30,1.4429465939298312e+29,1.4429465939298312e+30
0.0002110642679101,8.277346458909222e+28,8.277346458909223e+29,1.1020135818074409e+29,1.1020135818074409e+30
0.0002193497398905,6.321608116362302e+28,6.321608116362303e+29,8.416342166754543e+28,8.416342166754543e+29
0.0002279604637318,4.827960887798293e+28,4.827960887798293e+29,6.427758578429679e+28,6.427758578429678e+29
0.0002369092074182,3.687225026448379e+28,3.68722502644838e+29,4.909027402076244e+28,4.909027402076244e+29
0.0002462092401494,2.8160169092747348e+28,2.816016909274735e+29,3.7491349383835218e+28,3.7491349383835215e+29
0.0002558743520168,2.150654159360604e+28,2.1506541593606043e+29,2.8632969577286143e+28,2.8632969577286142e+29
0.0002659188744512,1.64250080621874e+28,1.64250080621874e+29,2.1867614283977304e+28,2.1867614283977303e+29
0.0002763577014736,1.2544122470733816e+28,1.2544122470733815e+29,1.6700754768728451e+28,1.670075476872845e+29
0.0002872063117797,9.58020159534878e+27,9.58020159534878e+28,1.2754706265996896e+28,1.2754706265996894e+29
0.0002984807916924,7.316589104749569e+27,7.316589104749569e+28,9.74102099744765e+27,9.74102099744765e+28
0.0003101978590138,5.587818947468934e+27,5.587818947468935e+28,7.43940392414503e+27,7.43940392414503e+28
0.0003223748878149,4.267520478767632e+27,4.267520478767632e+28,5.681610104868148e+27,5.681610104868147e+28
0.0003350299341977,3.25918126437738e+27,3.25918126437738e+28,4.3391466537568656e+27,4.339146653756866e+28
0.0003481817630688,2.48909237550315e+27,2.4890923755031503e+28,3.313880381587034e+27,3.3138803815870337e+28
0.0003618498759642,1.900960515579811e+27,1.9009605155798109e+28,2.530864591748268e+27,2.5308645917482685e+28
0.0003760545399658,1.451793154243127e+27,1.451793154243127e+28,1.932860708311855e+27,1.9328607083118552e+28
0.0003908168177536,1.1087558930651572e+27,1.1087558930651571e+28,1.4761542955009486e+27,1.4761542955009486e+28
0.0004061585988376,8.467723520174777e+26,8.467723520174777e+27,1.1273596402599552e+27,1.1273596402599554e+28
0.0004221026320156,6.466911396633744e+26,6.466911396633744e+27,8.609793279541965e+26,8.609793279541965e+27
0.0004386725591048,4.938859207859389e+26,4.938859207859389e+27,6.575404270818713e+26,6.575404270818713e+27
0.0004558929499981,3.77186252295469e+26,3.77186252295469e+27,5.02171045955506e+26,5.021710459555059e+27
0.0004737893390963,2.880610357466934e+26,2.880610357466934e+27,3.8351321327222485e+26,3.835132132722248e+27
0.0004923882631706,2.1999489985035576e+26,2.1999489985035576e+27,2.9289261814396472e+26,2.928926181439647e+27
0.0005117173007114,1.6801192865968663e+26,1.6801192865968662e+27,2.2368452040490817e+26,2.2368452040490816e+27
0.0005318051128214,1.2831192144078037e+26,1.2831192144078038e+27,1.7082948120813953e+26,1.708294812081395e+27
0.0005526814857144,9.799259584148522e+25,9.799259584148523e+26,1.3046351517357496e+26,1.3046351517357498e+27
0.0005743773748826,7.483742809997592e+25,7.483742809997592e+26,9.963562912718687e+25,9.963562912718686e+26
0.000596924950997,5.71536218688477e+25,5.715362186884771e+26,7.609210012124694e+25,7.609210012124693e+26
0.0006203576476104,4.364836146904537e+25,4.364836146904537e+26,5.811172384932076e+25,5.811172384932075e+26
0.0006447102107323,3.3334303866360564e+25,3.333430386636057e+26,4.437999035462205e+25,4.437999035462205e+26
0.0006700187503509,2.54574009364258e+25,2.54574009364258e+26,3.3892989412401204e+25,3.389298941240121e+26
0.0006963207939763,1.944177587624019e+25,1.9441775876240192e+26,2.588402113700617e+25,2.588402113700617e+26
0.0007236553422869,1.484762424444182e+25,1.4847624244441822e+26,1.976754707100242e+25,1.9767547071002425e+26
0.0007520629269592,1.133906219150384e+25,1.133906219150384e+26,1.5096384574487357e+25,1.5096384574487357e+26
0.0007815856707684,8.659571567898604e+24,8.659571567898605e+25,1.1529015401048435e+25,1.1529015401048436e+26
0.0008122673500479,6.613246923193273e+24,6.613246923193274e+25,8.804618684724771e+24,8.804618684724772e+25
0.0008441534596012,5.050473524302206e+24,5.050473524302206e+25,6.72400321282838e+24,6.72400321282838e+25
0.0008772912801613,3.856989428164848e+24,3.856989428164848e+25,5.135045096669175e+24,5.135045096669175e+25
0.0009117299484984,2.945532019571944e+24,2.9455320195719447e+25,3.921566298246671e+24,3.921566298246671e+25
0.0009475205302806,2.249458351228561e+24,2.249458351228561e+25,2.994841000156368e+24,2.994841000156368e+25
0.0009847160957933,1.7178729104822768e+24,1.717872910482277e+25,2.287108904488238e+24,2.287108904488238e+25
0.0010233717986325,1.3119066325833192e+24,1.3119066325833191e+25,1.74662125639791e+24,1.7466212563979098e+25
0.001063544957486,1.0018751389770052e+24,1.0018751389770052e+25,1.333857433549267e+24,1.333857433549267e+25
0.001105295141126,7.65108452849989e+23,7.651084528499892e+24,1.0186355141493937e+24,1.0186355141493937e+25
0.0011486842567375,5.842935313062339e+23,5.84293531306234e+24,7.779055890171752e+23,7.779055890171752e+24
0.0011937766417144,4.462084423844735e+23,4.4620844238447353e+24,5.940644942988552e+23,5.940644942988551e+24
0.0012406391590588,3.4075564607302435e+23,3.407556460730244e+24,4.5366875956467736e+23,4.5366875956467735e+24
0.0012893412965257,2.6022370446261112e+23,2.6022370446261115e+24,3.464516775389793e+23,3.4645167753897924e+24
0.0013399552696593,1.98723445621493e+23,1.9872344562149305e+24,2.645726347031711e+23,2.645726347031711e+24
0.0013925561288744,1.517573594300972e+23,1.517573594300972e+24,2.020438217264608e+23,2.0204382172646077e+24
0.0014472218707411,1.1589074378689152e+23,1.1589074378689151e+24,1.5429241036716326e+23,1.5429241036716325e+24
0.001504033553638,8.850055832189931e+22,8.850055832189932e+23,1.1782618711495469e+23,1.1782618711495468e+24
0.0015630754179458,6.758362381918876e+22,6.758362381918875e+23,8.997819739241106e+22,8.997819739241106e+23
0.0016244350109588,5.161014425926785e+22,5.161014425926786e+23,6.871173052269388e+22,6.871173052269388e+23
0.0016882033167003,3.941184192229011e+22,3.941184192229012e+23,5.24713871746466e+22,5.247138717464659e+23
0.0017544748908334,3.009652657691136e+22,3.009652657691136e+23,4.006934011718968e+22,4.006934011718967e+23
0.0018233480008684,2.2982852415538514e+22,2.298285241553852e+23,3.059847215086488e+22,3.059847215086488e+23
0.0018949247718738,1.755049237109099e+22,1.7550492371090993e+23,2.3366040139026462e+22,2.336604013902646e+23
0.0019693113379074,1.3402086666055025e+22,1.3402086666055023e+23,1.7843014792085089e+22,1.7843014792085087e+23
0.0020466179993919,1.0234183308773289e+22,1.0234183308773288e+23,1.3625391979136033e+22,1.3625391979136032e+23
0.0021269593866686,7.815045700265826e+21,7.815045700265827e+22,1.0404646642365745e+22,1.0404646642365745e+23
0.002210454629971,5.967704612312068e+21,5.967704612312069e+22,7.945168862545652e+21,7.945168862545652e+22
0.0022972275360711,4.557015251928819e+21,4.5570152519288194e+22,6.067032140141918e+21,6.067032140141918e+22
0.0023874067718606,3.479772973009324e+21,3.479772973009324e+22,4.632833839805312e+21,4.632833839805312e+22
0.0024811260551377,2.6571648428913213e+21,2.6571648428913214e+22,3.5376455008908115e+21,3.5376455008908118e+22
0.0025785243528842,2.0290050711434452e+21,2.029005071143446e+22,2.701338112469084e+21,2.701338112469084e+22
0.0026797460873256,1.549332747466072e+21,1.549332747466072e+22,2.062721113490332e+21,2.062721113490332e+22
0.0027849413500806,1.1830499521489986e+21,1.1830499521489988e+22,1.5750665043403827e+21,1.5750665043403824e+22
0.0028942661247167,9.033543794071222e+20,9.033543794071224e+21,1.2026907418142158e+21,1.2026907418142158e+22
0.003007882518043,6.897787134958333e+20,6.897787134958333e+21,9.183444410447483e+20,9.183444410447484e+21
0.0031259590004822,5.2669336781616205e+20,5.26693367816162e+21,7.01218980820334e+20,7.012189808203339e+21
0.0032486706558783,4.021630824882611e+20,4.021630824882612e+21,5.3542422224768487e+20,5.354242222476848e+21
0.0033761994411113,3.0707375373930267e+20,3.070737537393027e+21,4.088260034990716e+20,4.088260034990716e+21
0.0035087344559027,2.344656310937413e+20,2.344656310937413e+21,3.1215838459225906e+20,3.1215838459225907e+21
0.0036464722232127,1.790241108302488e+20,1.790241108302488e+21,2.383457096852425e+20,2.3834570968524244e+21
0.0037896169806447,1.3669088007083228e+20,1.3669088007083228e+21,1.819848995025873e+20,1.8198489950258733e+21
0.0039383809832884,1.0436696800587804e+20,1.0436696800587804e+21,1.3895010533326956e+20,1.3895010533326955e+21
0.0040929848184524,7.968598278620932e+19,7.968598278620932e+20,1.0609080548459818e+20,1.0609080548459816e+21
0.0042536577327503,6.084094608500766e+19,6.084094608500767e+20,8.10012595806315e+19,8.10012595806315e+20
0.0044206379720285,4.645205764588728e+19,4.645205764588728e+20,6.184445544570791e+19,6.184445544570791e+20
0.0045941731346364,3.5465715976970265e+19,3.5465715976970266e+20,4.721766920010833e+19,4.721766920010833e+20
0.0047745205385661,2.707740766574807e+19,2.707740766574807e+20,3.604980310528589e+19,3.6049803105285885e+20
0.0049619476030029,2.0672823778767155e+19,2.067282377876716e+20,2.752299023800361e+19,2.752299023800361e+20
0.0051567322448549,1.578289516467224e+19,1.5782895164672242e+20,2.1012730248823984e+19,2.1012730248823987e+20
0.0053591632908485,1.204945671440848e+19,1.2049456714408478e+20,1.604217609906454e+19,1.604217609906454e+20
0.0055695409058001,9.199028219528114e+18,9.199028219528117e+19,1.224722691949009e+19,1.2247226919490091e+20
0.0057881770377012,7.02279328067265e+18,7.022793280672651e+19,9.349872710954711e+18,9.349872710954711e+19
0.0060153958802748,5.361311185518189e+18,5.361311185518189e+19,7.137840335749066e+18,7.137840335749066e+19
0.0062515343536897,4.0928429668226826e+18,4.092842966822683e+19,5.449051287189961e+18,5.449051287189961e+19
0.0064969426041461,3.1244372963401846e+18,3.1244372963401847e+19,4.159753796902612e+18,4.159753796902612e+19
0.0067519845230725,2.3851238127754737e+18,2.385123812775474e+19,3.175460697482139e+18,3.1754606974821392e+19
0.0070170382867038,1.8207156937217687e+18,1.8207156937217688e+19,2.424029769747917e+18,2.4240297697479164e+19
0.0072924969168414,1.389841043584694e+18,1.389841043584694e+19,1.850380087612758e+18,1.850380087612758e+19
0.0075787688636259,1.0609125967092616e+18,1.0609125967092615e+19,1.412457599169135e+18,1.412457599169135e+19
0.007876278611187,8.09813906120702e+17,8.09813906120702e+18,1.0781546087405792e+18,1.0781546087405791e+19
0.008185467307069,6.181326274533564e+17,6.181326274533565e+18,8.229576401006225e+17,8.229576401006223e+18
0.0085067934163641,4.718115513650827e+17,4.718115513650827e+18,6.281514737109088e+17,6.281514737109088e+18
0.008840733401525,3.601186158456989e+17,3.6011861584569887e+18,4.79447861333031e+17,4.794478613330309e+18
0.0091877824288633,2.748604796840142e+17,2.7486047968401423e+18,3.6593850845504845e+17,3.659385084550485e+18
0.0095484551027822,2.097820685106388e+17,2.097820685106388e+18,2.792956533425664e+17,2.792956533425664e+18
0.0099232862288325,1.6010812000369408e+17,1.601081200036941e+18,2.131616982297702e+17,2.131616982297702e+18
0.0103128316067218,1.2219315136796634e+17,1.2219315136796636e+18,1.6268318969107942e+17,1.6268318969107942e+18
0.010717668854455,9.325421091209992e+16,9.325421091209992e+17,1.2415501452794368e+17,1.2415501452794368e+18
0.0111383982648261,7.1166837451491736e+16,7.116683745149174e+17,9.474874808630557e+16,9.474874808630556e+17
0.011575643695533,5.430928002322866e+16,5.4309280023228666e+17,7.230525446879555e+16,7.230525446879555e+17
0.0120300534942332,4.144356480712014e+16,4.144356480712015e+17,5.517634367811853e+16,5.517634367811853e+17
0.0125023014599145,3.162469491267009e+16,3.162469491267009e+17,4.210388375947201e+16,4.2103883759472006e+17
0.0129930878420041,2.4131329369469104e+16,2.4131329369469104e+17,3.212750951556537e+16,3.212750951556537e+17
