event_id,Mtot_source_Msun,z_med,catalog,Mtot_det_Msun,(GM/c^2)^4_m4,X_Mminus4,delta_phi_5l_median,delta_phi_5l_90pc_low,delta_phi_5l_90pc_high,kappa_2p5,alpha_hat_median,alpha_m4_median,alpha_m4_90pc_low,alpha_m4_90pc_high,alpha_max_from_0p30_m4,delta_phi_5l_median_from_par,delta_phi_5l_90pc_low_from_par,delta_phi_5l_90pc_high_from_par,delta_phi_5l_median_eff,delta_phi_5l_90pc_low_eff,delta_phi_5l_90pc_high_eff,sigma_delta_5l_1sigma
GW200115_042309,7.4,0.06,GWTC-3 (O3b),7.844000000000001,1.8000467473649732e+16,5.555411277311911e-17,,,,1.0,,,,,5400140242094919.0,0.0480666546577891,-0.8905334743144231,1.600978494904528,0.0480666546577891,-0.8905334743144231,1.600978494904528,0.7596073076887048
GW200202_154313,17.58,0.09,GWTC-3 (O3b),19.1622,6.41083971405333e+17,1.5598580601038581e-18,,,,1.0,,,,,1.923251914215999e+17,-0.038267833363428,-2.349491652393444,9.596027919595809,-0.038267833363428,-2.349491652393444,9.596027919595809,3.6419266987772114
GW191129_134029,17.5,0.16,GWTC-3 (O3b),20.3,8.074536379715373e+17,1.2384611982332166e-18,,,,1.0,,,,,2.422360913914612e+17,-0.7329527842761222,-1.007055021897011,-0.2090038149565198,-0.7329527842761222,-1.007055021897011,-0.2090038149565198,0.24330829479893024
GW191216_213338,19.8,0.07,GWTC-3 (O3b),21.186000000000003,9.57920165242196e+17,1.0439283316967911e-18,,,,1.0,,,,,2.873760495726588e+17,0.0590280613591037,-40.792281884414734,40.165090159951546,0.0590280613591037,-40.792281884414734,40.165090159951546,24.682125623282403
GW191204_171526,20.19,0.13,GWTC-3 (O3b),22.8147,1.288227285735665e+18,7.762605334267022e-19,,,,1.0,,,,,3.8646818572069946e+17,-0.1522412482314522,-0.6036242764567925,0.5413177248209763,-0.1522412482314522,-0.6036242764567925,0.5413177248209763,0.349067683316393
GW200316_215756,21.2,0.22,GWTC-3 (O3b),25.864,2.127728497740168e+18,4.699847753423836e-19,,,,1.0,,,,,6.383185493220503e+17,-0.2495737872751615,-28.872659899941297,26.84305809156687,-0.2495737872751615,-28.872659899941297,26.84305809156687,16.98649938765493
GW200225_060421,33.5,0.22,GWTC-3 (O3b),40.87,1.32663666136301e+19,7.537858926441716e-20,,,,1.0,,,,,3.9799099840890296e+18,-0.897080767049113,-1.9220394383034636,-0.1446277452499014,-0.897080767049113,-1.9220394383034636,-0.1446277452499014,0.5418938088577934
GW200129_065458,63.3,0.18,GWTC-3 (O3b),74.69399999999999,1.4800497476992818e+20,6.756529647428994e-21,,,,1.0,,,,,4.440149243097845e+19,0.0695358655025353,-0.8933537772597543,0.8746814672553379,0.0695358655025353,-0.8933537772597543,0.8746814672553379,0.539035135522894
GW200311_115853,61.9,0.23,GWTC-3 (O3b),76.137,1.597778179384777e+20,6.258691055507148e-21,,,,1.0,,,,,4.793334538154331e+19,0.247318300145602,-1.0589943631404464,1.1304033896524524,0.247318300145602,-1.0589943631404464,1.1304033896524524,0.6674993148758838
